ID,country,province,site,forestType,topo,plotsize,altitude,UTM.zone.WGS84,utmy,utmx,degslope
CAJ_US1,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,upper slope,0.04,2891,17M,9545631,702155,35
CAJ_US2,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,upper slope,0.04,2885,17M,9545656,702160,35
CAJ_US3,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,upper slope,0.04,2869,17M,9545644,702192,30
CAJ_US4,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,upper slope,0.04,2886,17M,9545651,701986,30
CAJ_US5,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,upper slope,0.04,2890,17M,9545649,702012,45
CAJ_US6,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,upper slope,0.04,2893,17M,9545684,702016,30
CAJ_MS1,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,mid slope,0.04,2859,17M,9545574,702243,40
CAJ_MS2,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,mid slope,0.04,2872,17M,9545607,702200,20
CAJ_MS3,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,mid slope,0.04,2844,17M,9545591,702260,25
CAJ_MS4,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,mid slope,0.04,2900,17M,9545043,702595,20
CAJ_MS5,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,mid slope,0.04,2885,17M,9545019,702577,40
CAJ_MS6,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,mid slope,0.04,2875,17M,9544970,702562,40
CAJ_LS1,Ecuador,Loja,"Cajanuma, Podocarpus NP",evergreen upper montane forest,lower slope,0.04,2818,17M,9545630,702367,15
