"ID","country","province","site","forestType","topo","plotsize","altitude","UTM.zone.WGS84","utmy","utmx","degslope","TPI_200m_circular","slope","aspect"
"CAJ_US1","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","upper slope",0.04,2891,"17M",9545631,702155,35,0.666169683815679,17.9435434267202,62.7587235821734
"CAJ_US2","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","upper slope",0.04,2885,"17M",9545656,702160,35,0.784949705516721,21.1690842219997,68.8134497473881
"CAJ_US3","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","upper slope",0.04,2869,"17M",9545644,702192,30,0.165464100669169,23.9086307452329,69.5037568936938
"CAJ_US4","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","upper slope",0.04,2886,"17M",9545651,701986,30,0.920400115032052,25.8238087801502,260.797233661125
"CAJ_US5","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","upper slope",0.04,2890,"17M",9545649,702012,45,1.26176763819547,25.9064268547375,257.826534256009
"CAJ_US6","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","upper slope",0.04,2893,"17M",9545684,702016,30,1.61435647863889,26.6207948473986,311.660714391554
"CAJ_MS1","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","mid slope",0.04,2859,"17M",9545574,702243,40,-1.14673839335677,31.3229218599953,66.5380929464498
"CAJ_MS2","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","mid slope",0.04,2872,"17M",9545607,702200,20,-0.109162548486516,21.4926944954314,65.8275851161434
"CAJ_MS3","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","mid slope",0.04,2844,"17M",9545591,702260,25,-1.2024312589051,27.6247008210492,76.5072483048646
"CAJ_MS4","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","mid slope",0.04,2900,"17M",9545043,702595,20,-0.243475593661937,22.0386526920049,162.262181738661
"CAJ_MS5","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","mid slope",0.04,2885,"17M",9545019,702577,40,-0.00844885627548378,19.4797810713637,154.172081549183
"CAJ_MS6","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","mid slope",0.04,2875,"17M",9544970,702562,40,0.212857685780388,28.2313604856752,162.854452505771
"CAJ_LS1","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","lower slope",0.04,2818,"17M",9545630,702367,15,-0.67419724678255,12.2671316367072,10.007758972164
"CAJ_LS2","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","lower slope",0.04,2805,"17M",9545609,702375,15,-0.846044416088486,12.5655445844325,25.9872080767071
"CAJ_LS3","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","lower slope",0.04,2798,"17M",9545658,702308,20,-0.941810773764228,22.1424515885463,42.5571979113465
"CAJ_LS4","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","lower slope",0.04,2865,"17M",9545590,702017,30,0.719048826648568,24.1884681421608,301.46621205925
"CAJ_LS5","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","lower slope",0.04,2878,"17M",9545639,701963,15,0.435482963095225,27.247345018198,260.719780989966
"CAJ_LS6","Ecuador","Loja","Cajanuma, Podocarpus NP","evergreen upper montane forest","lower slope",0.04,2880,"17M",9545616,701966,15,0.204404815762752,26.3846129112178,270.191860082574
"BOM_US1","Ecuador","Zamora-Chinchipe","Bombuscaro, Podocarpus NP","evergreen premontane forest","upper slope",0.04,1075,"17M",9545001,725696,35,0.358312380004608,37.6514513990674,177.656063437761
